id,formattedAddress,location,rating,websiteUri,userRatingCount,displayName,primaryType
ChIJoS84RStzVo8RMZAc0ytcFmw,"Perif. de Mérida Lic. Manuel Berzunza S/N, 97249 Mérida, Yuc., Mexico","{'latitude': 20.955513, 'longitude': -89.6999282}",4.2,http://www.surpesa.com.mx/,40.0,"{'text': 'SURPESA Cedis', 'languageCode': 'en'}",hardware_store
ChIJych2UCtzVo8RrIjQgPltzjk,"Perif. de Mérida Lic. Manuel Berzunza, 97312 Mérida, Yuc., Mexico","{'latitude': 20.9555047, 'longitude': -89.699936}",,,,"{'text': 'La Tienda del Plomero y el Electricista', 'languageCode': 'es'}",hardware_store
ChIJiVWqvydzVo8RwNMdR4Mi72E,"x75C, C. 34 675, Tixcacal Opichen, Sin Nombre de Col 28, 97249 Mérida, Yuc., Mexico","{'latitude': 20.9520469, 'longitude': -89.6897759}",4.4,,160.0,"{'text': 'Ferrotlapalería El Farahon Dorado', 'languageCode': 'es'}",hardware_store
ChIJX_mhVdhyVo8RBfz5X7rnOpk,"C. 81 511, Ampliación Tixcacal Opichen, 97249 Mérida, Yuc., Mexico","{'latitude': 20.947645899999998, 'longitude': -89.6887138}",4.6,,253.0,"{'text': 'Tlapalería Vizcarra', 'languageCode': 'en'}",hardware_store
ChIJ4dRnBDFzVo8RZ9I0-bg8Dpc,"C. 77ᶜ 598, Ampliación Tixcacal Opichen, 97000 Mérida, Yuc., Mexico","{'latitude': 20.9491932, 'longitude': -89.6925399}",4.9,,12.0,"{'text': 'Ferrotlapalería El Foquito', 'languageCode': 'es'}",hardware_store
ChIJuQrWSR5zVo8RS2dof0OlfaA,"C. 138 1158, Villa Magna Poniente I, Cinturón Verde, 97249 Mérida, Yuc., Mexico","{'latitude': 20.9519722, 'longitude': -89.67883139999999}",4.5,,84.0,"{'text': 'Tlapalería El Barata', 'languageCode': 'es'}",hardware_store
ChIJJyruD99yVo8Rt4pBMat7ylk,"Calle 140-C No. 289 por, C. 81 Diag., Nueva Reforma Agraria, 97249 Mérida, Yuc., Mexico","{'latitude': 20.9482231, 'longitude': -89.68448210000001}",3.0,,18.0,"{'text': 'FERROTLAPALERÍA RUIZ', 'languageCode': 'es'}",hardware_store
ChIJGxN0qN1zVo8RVaj_3NNEC00,"C. 77 962, Jardines de Nueva Mulsay ÌII, Jardines de Nueva Mulsay III, 97249 Mérida, Yuc., Mexico","{'latitude': 20.9535415, 'longitude': -89.66002560000001}",4.8,https://m.facebook.com/Ferrotlapaler%C3%ADa-Suarez-107430244496773/?ref=bookmarks,18.0,"{'text': 'Ferrotlapalería Suarez', 'languageCode': 'es'}",hardware_store
ChIJsUulxgJzVo8RtqKHHGnao6U,"Calle 120 75b, Jardines de Nueva Mulsay III, 97249 Mérida, Yuc., Mexico","{'latitude': 20.9535435, 'longitude': -89.6631274}",3.0,,2.0,"{'text': 'Ferroplomeria Del Caribe Expert', 'languageCode': 'es'}",hardware_store
ChIJFxMgVE1yVo8RA8g73jNHh3c,"x79 y 81, Calle 100 768, Nueva Sambulá, 97250 Mérida, Yuc., Mexico","{'latitude': 20.9499215, 'longitude': -89.6531899}",4.9,,12.0,"{'text': 'FERROTLAPALERÍA ""MONTERO""', 'languageCode': 'es'}",hardware_store
